model,rcp,mgm,windcase,dist,refdif,diff,percdiff
EC-EARTH_RACMO22E-r1,rcp45,CONSERVATION,w5,0.344699141584278,0.342768312834943,0.00193082874933498,0.563304330369871
EC-EARTH_RACMO22E-r1,rcp45,CONSERVATION,w6,0.35192426134242,0.350712183139908,0.00121207820251151,0.345604818076132
EC-EARTH_RACMO22E-r1,rcp45,CONSERVATION,w7,0.354428835898548,0.358269367419116,-0.00384053152056868,-1.07196759472765
EC-EARTH_RACMO22E-r1,rcp45,CONSERVATION,w8,0.335055556332066,0.338832201214724,-0.00377664488265794,-1.11460624731609
EC-EARTH_RACMO22E-r1,rcp45,CONSERVATION,w9,0.357683727054597,0.353756390378766,0.00392733667583112,1.11018112538578
EC-EARTH_RACMO22E-r1,rcp45,UNMANAGED,w5,0.324128015300152,0.305519662987457,0.018608352312695,6.09072166771109
EC-EARTH_RACMO22E-r1,rcp45,UNMANAGED,w6,0.330896589706355,0.320753068003792,0.0101435217025632,3.16240831792862
EC-EARTH_RACMO22E-r1,rcp45,UNMANAGED,w7,0.333457867543518,0.315970165293104,0.0174877022504142,5.53460553283315
EC-EARTH_RACMO22E-r1,rcp45,UNMANAGED,w8,0.306623963401847,0.292362997595835,0.0142609658060119,4.8778285635607
EC-EARTH_RACMO22E-r1,rcp45,UNMANAGED,w9,0.345745423668912,0.330357743376878,0.0153876802920336,4.65788394567131
EC-EARTH_RACMO22E-r1,rcp85,ADAPTATION,w5,0.29819660442207,0.341597560008763,-0.0434009555866935,-12.7052885230152
EC-EARTH_RACMO22E-r1,rcp85,ADAPTATION,w6,0.306202952364714,0.346114890733238,-0.0399119383685246,-11.5314132495056
EC-EARTH_RACMO22E-r1,rcp85,ADAPTATION,w7,0.310030376580484,0.345481173237712,-0.0354507966572275,-10.2612817726062
EC-EARTH_RACMO22E-r1,rcp85,ADAPTATION,w8,0.301329446622918,0.338632422550302,-0.037302975927384,-11.0157721007482
EC-EARTH_RACMO22E-r1,rcp85,ADAPTATION,w9,0.312645966207764,0.349167821807874,-0.0365218556001093,-10.4596853773671
EC-EARTH_RACMO22E-r1,rcp85,BAU,w5,0.302213578822912,0.33147398649621,-0.0292604076732976,-8.82736168306594
EC-EARTH_RACMO22E-r1,rcp85,BAU,w6,0.316185436577027,0.343124201434782,-0.0269387648577549,-7.8510244235498
EC-EARTH_RACMO22E-r1,rcp85,BAU,w7,0.311864509330163,0.339170509548712,-0.0273060002185487,-8.05081793664227
EC-EARTH_RACMO22E-r1,rcp85,BAU,w8,0.301717349353057,0.328691295490995,-0.0269739461379379,-8.20646804706056
